@RELATION word_relatedness

@ATTRIBUTE measure_1 NUMERIC
@ATTRIBUTE measure_2 NUMERIC
@ATTRIBUTE measure_3 NUMERIC
@ATTRIBUTE measure_4 NUMERIC
@ATTRIBUTE measure_5 NUMERIC
@ATTRIBUTE measure_6 NUMERIC
@ATTRIBUTE measure_7 NUMERIC
@ATTRIBUTE measure_8 NUMERIC
@ATTRIBUTE measure_9 NUMERIC
@ATTRIBUTE measure_10 NUMERIC
@ATTRIBUTE measure_11 NUMERIC
@ATTRIBUTE measure_12 NUMERIC
@ATTRIBUTE measure_13 NUMERIC
@ATTRIBUTE measure_14 NUMERIC
@ATTRIBUTE measure_15 NUMERIC
@ATTRIBUTE measure_16 NUMERIC
@ATTRIBUTE measure_17 NUMERIC
@ATTRIBUTE measure_18 NUMERIC
@ATTRIBUTE measure_19 NUMERIC
@ATTRIBUTE measure_20 NUMERIC
@ATTRIBUTE measure_21 NUMERIC
@ATTRIBUTE measure_22 NUMERIC
@ATTRIBUTE measure_23 NUMERIC
@ATTRIBUTE measure_24 NUMERIC
@ATTRIBUTE class {TRUE,FALSE}

@DATA
1.85076979E8,1.716314636253818E8,0.005152170156611796,0.0064938613786913475,0.012903926447789918,1.2725037732924867E8,70856.0,65864.58787542817,0.12322932075128092,0.005432112628609127,0.010805528409884127,47267.54304388954,1.85076979E8,1.716314636253818E8,0.005152170156611796,0.0064938613786913475,0.012903926447789918,1.2725037732924867E8,1.85076979E8,1.716314636253818E8,0.005152170156611796,0.0064938613786913475,0.012903926447789918,1.2725037732924867E8,FALSE
1.867726137E9,1.5383871550590818E9,0.001569114258082447,1.097957981138265E-4,2.195674886399979E-4,1.2940217054310548E9,2.8124833E7,2.7809839183473445E7,4.8603134603529725E-4,5.795556379812463E-6,1.1591045583066748E-5,1.9494232055751108E7,1.867726137E9,1.5383871550590818E9,0.001569114258082447,1.097957981138265E-4,2.195674886399979E-4,1.2940217054310548E9,1.867726137E9,1.5383871550590818E9,0.001569114258082447,1.097957981138265E-4,2.195674886399979E-4,1.2940217054310548E9,FALSE
7.8032023E7,7.388492335140066E7,0.002167041553318792,1.581792551641907E-4,3.16308476889105E-4,5.405782241068005E7,984.0,485.5121007760775,0.14590594971586054,0.008064516129032258,0.016,667.2466038184226,7.8032023E7,7.388492335140066E7,0.002167041553318792,1.581792551641907E-4,3.16308476889105E-4,5.405782241068005E7,7.8032023E7,7.388492335140066E7,0.002167041553318792,1.581792551641907E-4,3.16308476889105E-4,5.405782241068005E7,TRUE
8.2558048E7,7.394695666291268E7,0.004665590290749879,0.006585712718684461,0.013085249741717729,5.618035870830427E7,2365.0,1609.562362880047,0.47323199691925877,0.09317484662576687,0.17046650298141003,1222.3591366232008,8.2558048E7,7.394695666291268E7,0.004665590290749879,0.006585712718684461,0.013085249741717729,5.618035870830427E7,8.2558048E7,7.394695666291268E7,0.004665590290749879,0.006585712718684461,0.013085249741717729,5.618035870830427E7,FALSE
7.8042032E7,7.38848953331463E7,0.004575171365973125,1.4372239464724402E-4,2.874034829776845E-4,5.404813535008967E7,988.0,484.77417422960974,0.5842172079149759,0.004032258064516129,0.008032128514056224,667.9919872852136,7.8042032E7,7.38848953331463E7,0.004575171365973125,1.4372239464724402E-4,2.874034829776845E-4,5.404813535008967E7,7.8042032E7,7.38848953331463E7,0.004575171365973125,1.4372239464724402E-4,2.874034829776845E-4,5.404813535008967E7,FALSE
7.8042513E7,7.38849351670597E7,0.008055078240037658,2.3025381350671175E-5,4.6049702389383756E-5,5.408432781260451E7,992.0,486.6148374227814,0.0,0.0,0.0,687.6020031154657,7.8042513E7,7.38849351670597E7,0.008055078240037658,2.3025381350671175E-5,4.6049702389383756E-5,5.408432781260451E7,7.8042513E7,7.38849351670597E7,0.008055078240037658,2.3025381350671175E-5,4.6049702389383756E-5,5.408432781260451E7,FALSE
8.199128E7,7.393450571110089E7,1.1598097877749896E-4,4.4002383887115537E-4,8.796606061055084E-4,5.669249785305473E7,67110.0,66143.76682651207,0.028822247517290657,5.659141001965807E-4,0.0011311880451284494,46364.204661812255,8.199128E7,7.393450571110089E7,1.1598097877749896E-4,4.4002383887115537E-4,8.796606061055084E-4,5.669249785305473E7,8.199128E7,7.393450571110089E7,1.1598097877749896E-4,4.4002383887115537E-4,8.796606061055084E-4,5.669249785305473E7,FALSE
4.32861116E8,3.422341166307504E8,0.005874659932180502,2.773861653338825E-4,5.54618487172385E-4,2.998965512350413E8,118853.0,114567.27376087816,0.0025436857695392777,0.0026935405373655326,0.005372609732624796,81987.34561496179,4.32861116E8,3.422341166307504E8,0.005874659932180502,2.773861653338825E-4,5.54618487172385E-4,2.998965512350413E8,4.32861116E8,3.422341166307504E8,0.005874659932180502,2.773861653338825E-4,5.54618487172385E-4,2.998965512350413E8,FALSE
3.3742091E7,2.663081968411748E7,0.9899725215249131,0.2690836043971926,0.4240596970362812,1.2281804346536182E7,21271.0,19810.94694859385,0.9974968320931362,0.30681744117838755,0.46956435001620905,6342.807156267191,3.3742091E7,2.663081968411748E7,0.9899725215249131,0.2690836043971926,0.4240596970362812,1.2281804346536182E7,3.3742091E7,2.663081968411748E7,0.9899725215249131,0.2690836043971926,0.4240596970362812,1.2281804346536182E7,FALSE
1.2602821E7,1.229573232720951E7,0.5693452384844033,0.010288574517305629,0.020367595510463514,8274492.481029673,15024.0,10588.785199445685,0.019730755791963116,0.008382284997689922,0.016625212724178558,9875.483880499736,1.2602821E7,1.229573232720951E7,0.5693452384844033,0.010288574517305629,0.020367595510463514,8274492.481029673,1.2602821E7,1.229573232720951E7,0.5693452384844033,0.010288574517305629,0.020367595510463514,8274492.481029673,FALSE
6700636.0,4148188.5282843644,0.002044749026261799,0.02127959782207179,0.041672423237380955,4595660.4185956335,83.0,34.10278580995987,0.961640493451041,0.6497890295358649,0.7877237851662404,38.63983307431884,6700636.0,4148188.5282843644,0.002044749026261799,0.02127959782207179,0.041672423237380955,4595660.4185956335,6700636.0,4148188.5282843644,0.002044749026261799,0.02127959782207179,0.041672423237380955,4595660.4185956335,FALSE
6288508.0,4060483.5513332644,7.462492165315947E-4,0.003132871114763459,0.006246173772138392,4315723.160479554,41566.0,41458.02590572783,0.9202375234465258,0.0028068996953194347,0.005598086124401914,28178.028396354097,6288508.0,4060483.5513332644,7.462492165315947E-4,0.003132871114763459,0.006246173772138392,4315723.160479554,6288508.0,4060483.5513332644,7.462492165315947E-4,0.003132871114763459,0.006246173772138392,4315723.160479554,FALSE
6415915.0,4073715.971828547,0.0013415883384407638,0.006784943799630449,0.013478437160619246,4389449.637476888,3743.0,3641.2551407447404,0.9207597226297218,0.032066201189552626,0.06213981458281133,2224.955356170672,6415915.0,4073715.971828547,0.0013415883384407638,0.006784943799630449,0.013478437160619246,4389449.637476888,6415915.0,4073715.971828547,0.0013415883384407638,0.006784943799630449,0.013478437160619246,4389449.637476888,FALSE
5884142.0,4039355.73361025,0.011414829882598834,0.001621223486718099,0.003237198750790242,4064529.756317032,211.0,113.96051947933547,0.8925330022786323,0.06222222222222222,0.11715481171548117,119.62770761991138,5884142.0,4039355.73361025,0.011414829882598834,0.001621223486718099,0.003237198750790242,4064529.756317032,5884142.0,4039355.73361025,0.011414829882598834,0.001621223486718099,0.003237198750790242,4064529.756317032,FALSE
3.9252846E7,2.2185811584140256E7,0.012290136494761844,0.0027561820632446567,0.005497212807152402,2.6688759393185407E7,61878.0,55029.38451409392,0.17429931895514708,0.0027398143372872616,0.005464656530264554,42389.07180288338,3.9252846E7,2.2185811584140256E7,0.012290136494761844,0.0027561820632446567,0.005497212807152402,2.6688759393185407E7,3.9252846E7,2.2185811584140256E7,0.012290136494761844,0.0027561820632446567,0.005497212807152402,2.6688759393185407E7,FALSE
4.2584999E7,2.276772984133023E7,0.003345748612972238,0.0010724192135919272,0.002142540725344092,2.928667265622503E7,62696.0,55051.1513231104,0.006249298446621232,0.002878636067242394,0.005740746614228171,43115.79465096841,4.2584999E7,2.276772984133023E7,0.003345748612972238,0.0010724192135919272,0.002142540725344092,2.928667265622503E7,4.2584999E7,2.276772984133023E7,0.003345748612972238,0.0010724192135919272,0.002142540725344092,2.928667265622503E7,FALSE
2.5129947E7,1.972403897073845E7,0.023879337651335653,4.7844290361266753E-4,9.564282109349983E-4,1.735318420046366E7,6642.0,6558.1158879666045,0.1917249810279349,0.0018034265103697023,0.0036003600360036,4581.388167762285,2.5129947E7,1.972403897073845E7,0.023879337651335653,4.7844290361266753E-4,9.564282109349983E-4,1.735318420046366E7,2.5129947E7,1.972403897073845E7,0.023879337651335653,4.7844290361266753E-4,9.564282109349983E-4,1.735318420046366E7,FALSE
561437.0,423240.75803613244,0.996596367888687,0.5052603380468853,0.671326182290133,122532.43231292322,3666.0,3633.042801839802,0.9808205824739186,0.03500921295077652,0.0676500508646999,2158.6796999882486,561437.0,423240.75803613244,0.996596367888687,0.5052603380468853,0.671326182290133,122532.43231292322,561437.0,423240.75803613244,0.996596367888687,0.5052603380468853,0.671326182290133,122532.43231292322,FALSE
